taxa	taxid	superkingdom	clade	kingdom	family	genus
Homo sapiens	9606	Eukaryota	Opisthokonta	Metazoa	Hominidae	Homo
Candida albicans	5476	Eukaryota	Opisthokonta	Fungi	Debaryomycetaceae	Candida
Saccharomyces cerevisiae	4932	Eukaryota	Opisthokonta	Fungi	Saccharomycetaceae	Saccharomyces
[Candida] glabrata	5478	Eukaryota	Opisthokonta	Fungi	Saccharomycetaceae	Nakaseomyces
Yarrowia lipolytica	4952	Eukaryota	Opisthokonta	Fungi	Dipodascaceae	Yarrowia
Aspergillus terreus	33178	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus carbonarius	40993	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Talaromyces stipitatus	28564	Eukaryota	Opisthokonta	Fungi	Trichocomaceae	Talaromyces
Talaromyces marneffei	37727	Eukaryota	Opisthokonta	Fungi	Trichocomaceae	Talaromyces
Coccidioides immitis	5501	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Coccidioides
Fusarium oxysporum	5507	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Sclerotinia sclerotiorum	5180	Eukaryota	Opisthokonta	Fungi	Sclerotiniaceae	Sclerotinia
Schizosaccharomyces pombe	4896	Eukaryota	Opisthokonta	Fungi	Schizosaccharomycetaceae	Schizosaccharomyces
Schizosaccharomyces octosporus	4899	Eukaryota	Opisthokonta	Fungi	Schizosaccharomycetaceae	Schizosaccharomyces
Malassezia globosa	76773	Eukaryota	Opisthokonta	Fungi	Malasseziaceae	Malassezia
Ustilago maydis	5270	Eukaryota	Opisthokonta	Fungi	Ustilaginaceae	Ustilago
Cryptococcus neoformans	5207	Eukaryota	Opisthokonta	Fungi	Cryptococcaceae	Cryptococcus
Phanerodontia chrysosporium	2822231	Eukaryota	Opisthokonta	Fungi	Phanerochaetaceae	Phanerodontia
Batrachochytrium dendrobatidis	109871	Eukaryota	Opisthokonta	Fungi	NA	Batrachochytrium
Spizellomyces punctatus	109760	Eukaryota	Opisthokonta	Fungi	Spizellomycetaceae	Spizellomyces
Enterocytozoon bieneusi	31281	Eukaryota	Opisthokonta	Fungi	Enterocytozoonidae	Enterocytozoon
Nosema ceranae	40302	Eukaryota	Opisthokonta	Fungi	Nosematidae	Nosema
Encephalitozoon intestinalis	58839	Eukaryota	Opisthokonta	Fungi	Unikaryonidae	Encephalitozoon
Hamiltosporidium tvaerminnensis	1176355	Eukaryota	Opisthokonta	Fungi	Dubosqiidae	Hamiltosporidium
Rhizopus delemar	936053	Eukaryota	Opisthokonta	Fungi	Rhizopodaceae	Rhizopus
Mucor lusitanicus	29924	Eukaryota	Opisthokonta	Fungi	Mucoraceae	Mucor
Allomyces macrogynus	28583	Eukaryota	Opisthokonta	Fungi	Blastocladiaceae	Allomyces
Eimeria falciformis	84963	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria praecox	51316	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria mitis	44415	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Eimeria brunetti	51314	Eukaryota	Sar	NA	Eimeriidae	Eimeria
Sarcocystis neurona	42890	Eukaryota	Sar	NA	Sarcocystidae	Sarcocystis
Toxoplasma gondii	5811	Eukaryota	Sar	NA	Sarcocystidae	Toxoplasma
Hammondia hammondi	99158	Eukaryota	Sar	NA	Sarcocystidae	Hammondia
