NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Homo sapiens	523238	3061275	1270170	8713109	1893081	3489254	126502	4205075	2029361	2396631	1756548	7358424	3149028	5375435	623280	306209
Candida albicans	31427	408450	0	268	1	129	9	140	18678	29434	81313	442097	5152	19606	0	247
Saccharomyces cerevisiae	22	170	12	13	3	2	28	12	11554	20640	57	166	90	224	2	0
[Candida] glabrata	10	89	1	7	0	1	4	4	13662	22866	19	57	2180	2680	0	3
Yarrowia lipolytica	5	0	1	4	2	0	2	4	502	485	1	0	0	0	6	0
Aspergillus terreus	8	0	0	0	3	2	2	1	30	32	0	0	0	1	0	0
Aspergillus carbonarius	2	1	1	3	0	2	0	7	70	90	0	4	0	0	0	0
Talaromyces stipitatus	2	1	0	6	0	0	0	2	120	61	1	2	1	0	0	0
Talaromyces marneffei	1	0	4	0	0	1	2	2	651	214	1	0	3	12	3	0
Coccidioides immitis	1	10	13	13	1	4	12	42	34	2504	1	148	3	8	2	0
Fusarium oxysporum	6	3895	44	119	3	24	13	71	561	28383	112	18703	2	297	2	12
Sclerotinia sclerotiorum	2	24	0	4	0	3	4	0	673	1379	4	12	3	10	0	1
Schizosaccharomyces pombe	2	14	1	13	0	4	0	22	699	697	1	23	2	1	0	0
Schizosaccharomyces octosporus	2	10	3	0	0	0	0	0	1027	1559	41	41	0	1	0	0
Malassezia globosa	18	34	63	28	18	1	115	10	143	740	38	21	23	39	35	0
Ustilago maydis	1	0	70	0	2	0	0	0	69	209	0	0	3	0	3	0
Cryptococcus neoformans	1	7	3	6	1	0	1	0	193	260	0	0	2	4	1	0
Phanerodontia chrysosporium	1	0	1	4	0	0	0	3	22	21	5	1	4	0	0	0
Batrachochytrium dendrobatidis	3	5	0	0	0	1	0	1	288	257	6	8	0	0	0	0
Spizellomyces punctatus	2	11	0	3	4	1	4	0	143	111	11	29	0	1	1	0
Enterocytozoon bieneusi	1	3	1	0	0	0	2	0	0	0	0	15	0	0	0	0
Nosema ceranae	1	2	0	4	0	0	0	5	1	2	0	0	1	0	0	0
Encephalitozoon intestinalis	1	1	0	0	0	0	0	0	158	133	0	1	0	1	0	0
Hamiltosporidium tvaerminnensis	1	0	1	2	0	2	0	0	0	0	1	0	0	0	1	0
Rhizopus delemar	3	55	2	7	0	1	2	0	630	1070	1	19	1	3	0	1
Mucor lusitanicus	1	5	0	2	3	0	4	0	292	543	7	34	4	1	0	0
Allomyces macrogynus	2	1	1	1	0	0	1	1	53	418	0	0	2	3	0	0
Eimeria falciformis	760	5	1046	68	475	3	4642	7	970	176	654	25	2287	19	1424	0
Eimeria praecox	255	5	350	48	149	4	1260	9	352	195	293	18	1126	0	347	0
Eimeria mitis	4	10	4	26	1	1	18	7	4	203	1	10	6	3	3	2
Eimeria brunetti	2	3	10	11	2	1	7	3	5	45	3	21	2	2	3	1
Sarcocystis neurona	6	511	11	26	2	4	11	4	88	2818	35	3093	9	41	2	0
Toxoplasma gondii	5	4	15	23	3	0	16	10	9	67	6	57	18	20	5	0
Hammondia hammondi	3	11	2	4	0	0	1	55	0	14	5	0	1	0	5	1
Plasmodium reichenowi	3	0	1	2	1	0	9	0	12	495	7	0	6	0	4	2
Plasmodium gallinaceum	6	159	3	2	2	0	40	4	29	23	49	403	15	4	5	0
Theileria orientalis	4	0	6	0	0	0	0	0	14	40	0	0	0	1	2	0
Chromera velia	1	2	1	6	2	2	6	0	67	13	1	5	1	7	0	6
Phytophthora cinnamomi	2	2	2	0	1	0	3	1	1	2	0	1	0	0	1	0
Phytophthora sojae	1	0	3	2	5	1	0	1	5	1	1	1	8	3	0	3
Hyaloperonospora arabidopsidis	1	8	1	6	0	3	3	2	10	27	1	12	1	3	1	3
Pythium aphanidermatum	1	1	0	1	1	2	1	1	10	10	0	2	0	0	0	0
Globisporangium ultimum	1	1	1	3	0	0	0	2	58	37	0	0	0	0	0	1
Albugo candida	1	0	0	0	0	2	2	0	11	9	2	2	1	0	4	0
Acanthamoeba palestinensis	8	3	8	6	5	1	5	2	30	3	7	5	38	6	6	1
Acanthamoeba lugdunensis	2	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0
Acanthamoeba rhysodes	1	183	3	14	1	1	1	2	4	302	7	1149	2	20	1	2
Acanthamoeba mauritaniensis	1	0	17	0	1	0	9	1	3	2	3	8	20	0	4	0
Acanthamoeba quina	1	4	0	2	3	4	0	0	8	0	0	1	3	7	0	0
Entamoeba moshkovskii	7	19	0	0	0	0	1	2	33	19	7	10	2	2	0	0
Entamoeba histolytica	2	11	7	27	40	21	3	24	56	80	9	35	19	9	2	9
Trypanosoma evansi	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Trypanosoma cruzi	3	6	25	25	0	2	0	17	12	17	1	38	16	8	1	23
Trypanosoma grayi	1	0	0	0	1	1	0	0	13	0	1	3	0	0	0	0
Endotrypanum monterogeii	2	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0
Naegleria fowleri	1	9	0	11	0	2	1	1	756	480	3	23	1	3	0	0
Trichomonas vaginalis	10	25	3	34	152	108	46	11	380	142	24	108	49	6	7	2
Giardia intestinalis	3	9	0	342	1	1	3	586	0	14	0	5	3	5	2	0
Klebsiella aerogenes	65358	56221	83	245	3	8	34	5	8	2	15	10	7	116	15	17
Klebsiella pneumoniae	48144	686970	19591	37819	9328	705	67032	635	20460	426	19047	674	104413	9257	8202	700
Klebsiella quasipneumoniae	381	20241	277	263	9	39	120	12	22	5	26	9	10	101	50	4
