taxa	taxid	superkingdom	clade	kingdom	family	genus
Veillonella parvula	29466	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Veillonella rodentium	248315	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Veillonella atypica	39777	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Veillonella dispar	39778	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Veillonella nakazawae	2682456	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Veillonella sp. S12025-13	2682455	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Dialister pneumosintes	39950	Bacteria	Terrabacteria group	NA	Veillonellaceae	Dialister
Megasphaera massiliensis	1232428	Bacteria	Terrabacteria group	NA	Veillonellaceae	Megasphaera
Megasphaera stantonii	2144175	Bacteria	Terrabacteria group	NA	Veillonellaceae	Megasphaera
Megasphaera elsdenii	907	Bacteria	Terrabacteria group	NA	Veillonellaceae	Megasphaera
Methylomusa anaerophila	1930071	Bacteria	Terrabacteria group	NA	Sporomusaceae	Methylomusa
Sporomusa termitida	2377	Bacteria	Terrabacteria group	NA	Sporomusaceae	Sporomusa
Pelosinus sp. UFO1	484770	Bacteria	Terrabacteria group	NA	Sporomusaceae	Pelosinus
Pelosinus fermentans	365349	Bacteria	Terrabacteria group	NA	Sporomusaceae	Pelosinus
Selenomonas sputigena	69823	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Selenomonas
Selenomonas ruminantium	971	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Selenomonas
Selenomonas sp. oral taxon 920	1884263	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Selenomonas
Selenomonas sp. oral taxon 478	712538	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Selenomonas
Selenomonas sp. oral taxon 136	713030	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Selenomonas
Selenomonas timonae	2754044	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Selenomonas
Pectinatus frisingensis	865	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Pectinatus
Megamonas funiformis	437897	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Megamonas
Megamonas hypermegale	158847	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Megamonas
Phascolarctobacterium faecium	33025	Bacteria	Terrabacteria group	NA	Acidaminococcaceae	Phascolarctobacterium
Phascolarctobacterium succinatutens	626940	Bacteria	Terrabacteria group	NA	Acidaminococcaceae	Phascolarctobacterium
Phascolarctobacterium sp. Marseille-Q4147	2823317	Bacteria	Terrabacteria group	NA	Acidaminococcaceae	Phascolarctobacterium
Acidaminococcus intestini	187327	Bacteria	Terrabacteria group	NA	Acidaminococcaceae	Acidaminococcus
Acidaminococcus fermentans	905	Bacteria	Terrabacteria group	NA	Acidaminococcaceae	Acidaminococcus
Bacillus cereus	1396	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus thuringiensis	1428	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus anthracis	1392	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus mycoides	1405	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus pseudomycoides	64104	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus paranthracis	2026186	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus pacificus	2026187	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus cytotoxicus	580165	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus wiedmannii	1890302	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus tropicus	2026188	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus velezensis	492670	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus amyloliquefaciens	1390	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus siamensis	659243	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus subtilis	1423	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus halotolerans	260554	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus spizizenii	96241	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
